# 作物关键帧提示词 - 格式: 名称|prompt
# 背景色规则：根据每个阶段的主体颜色选择对比色

# 土生作物 (32x32 像素)

tomato_stage0|像素风格，32x32像素，番茄种子，棕色小颗粒，纯浅蓝色背景(RGB: 173, 216, 230)，无阴影，清晰像素边缘
tomato_stage1|像素风格，32x32像素，番茄幼苗，绿色小芽两片叶子，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
tomato_stage2|像素风格，32x32像素，番茄植株，绿色茎叶有小花苞，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
tomato_stage3|像素风格，32x32像素，成熟番茄，红色圆番茄绿色蒂，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘

carrot_stage0|像素风格，32x32像素，胡萝卜种子，细小棕色种子，纯浅蓝色背景(RGB: 173, 216, 230)，无阴影，清晰像素边缘
carrot_stage1|像素风格，32x32像素，胡萝卜幼苗，羽状绿叶，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
carrot_stage2|像素风格，32x32像素，胡萝卜植株，茂盛绿叶露出橙色顶部，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
carrot_stage3|像素风格，32x32像素，成熟胡萝卜，橙色胡萝卜绿色叶子，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘

pumpkin_stage0|像素风格，32x32像素，南瓜种子，扁平白色种子，纯浅蓝色背景(RGB: 173, 216, 230)，无阴影，清晰像素边缘
pumpkin_stage1|像素风格，32x32像素，南瓜幼苗，心形绿叶藤蔓，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
pumpkin_stage2|像素风格，32x32像素，南瓜植株，大叶子黄色花朵，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
pumpkin_stage3|像素风格，32x32像素，成熟南瓜，橙色圆南瓜绿色蒂，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘

sunflower_stage0|像素风格，32x32像素，向日葵种子，黑色条纹种子，纯浅蓝色背景(RGB: 173, 216, 230)，无阴影，清晰像素边缘
sunflower_stage1|像素风格，32x32像素，向日葵幼苗，两片大叶子，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
sunflower_stage2|像素风格，32x32像素，向日葵植株，高茎大叶子花苞，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
sunflower_stage3|像素风格，32x32像素，成熟向日葵，黄色大花盘棕色中心，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘

rose_stage0|像素风格，32x32像素，玫瑰种子，小棕色种子，纯浅蓝色背景(RGB: 173, 216, 230)，无阴影，清晰像素边缘
rose_stage1|像素风格，32x32像素，玫瑰幼苗，绿色嫩芽有刺，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
rose_stage2|像素风格，32x32像素，玫瑰植株，绿叶红色花苞，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘
rose_stage3|像素风格，32x32像素，成熟玫瑰，红色盛开玫瑰绿色叶子，纯棕色背景(RGB: 139, 90, 43)，无阴影，清晰像素边缘

strawberry_stage0|像素风格，32x32像素，草莓种子，细小种子，纯蓝色背景，无阴影，清晰像素边缘
strawberry_stage1|像素风格，32x32像素，草莓幼苗，三出复叶，纯蓝色背景，无阴影，清晰像素边缘
strawberry_stage2|像素风格，32x32像素，草莓植株，绿叶白色小花，纯蓝色背景，无阴影，清晰像素边缘
strawberry_stage3|像素风格，32x32像素，成熟草莓，红色草莓绿色蒂，纯蓝色背景，无阴影，清晰像素边缘

# 水生作物 (40x40 像素, 橙色背景)

lotus_stage0|像素风格，40x40像素，荷花种子，褐色圆种子，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
lotus_stage1|像素风格，40x40像素，荷花幼苗，小圆绿叶浮在水面，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
lotus_stage2|像素风格，40x40像素，荷花植株，大圆叶粉色花苞，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
lotus_stage3|像素风格，40x40像素，成熟荷花，粉色盛开荷花绿色荷叶，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘

waterlily_stage0|像素风格，40x40像素，睡莲种子，黑色小种子，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
waterlily_stage1|像素风格，40x40像素，睡莲幼苗，小圆叶浮在水面，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
waterlily_stage2|像素风格，40x40像素，睡莲植株，圆形叶白色花苞，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘
waterlily_stage3|像素风格，40x40像素，成熟睡莲，白色粉色睡莲花圆形叶，纯橙色背景(RGB: 255, 165, 0)，无阴影，清晰像素边缘

# 盆栽作物 (60x60 像素, 青色背景)

succulent_stage0|像素风格，60x60像素，多肉种子，细小种子在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
succulent_stage1|像素风格，60x60像素，多肉幼苗，小绿芽在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
succulent_stage2|像素风格，60x60像素，多肉植株，莲座状绿叶在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
succulent_stage3|像素风格，60x60像素，成熟多肉，饱满莲座状多肉在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘

cactus_stage0|像素风格，60x60像素，仙人掌种子，细小种子在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
cactus_stage1|像素风格，60x60像素，仙人掌幼苗，小绿球在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
cactus_stage2|像素风格，60x60像素，仙人掌植株，圆柱形仙人掌在花盆中，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘
cactus_stage3|像素风格，60x60像素，成熟仙人掌，高大仙人掌有刺和花，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘

# 沙生作物 (40x40 像素, 紫色背景)

aloe_stage0|像素风格，40x40像素，芦荟种子，细小种子，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘
aloe_stage1|像素风格，40x40像素，芦荟幼苗，小绿芽肉质叶片，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘
aloe_stage2|像素风格，40x40像素，芦荟植株，莲座状肉质叶，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘
aloe_stage3|像素风格，40x40像素，成熟芦荟，大芦荟叶片饱满，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘

sandthorn_stage0|像素风格，40x40像素，沙棘种子，细小种子，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘
sandthorn_stage1|像素风格，40x40像素，沙棘幼苗，小绿芽有刺，纯紫色背景(RGB: 128, 0, 128)，无阴影，清晰像素边缘
