# UI图标生成提示词 - 格式: 名称|prompt
# 尺寸：32x32像素，像素风格，纯色背景，无阴影

# 顶部状态栏图标
coin_icon|像素风格，32x32像素，金币图标，圆形金色硬币，中间有美元符号，纯黑色背景，无阴影，清晰像素边缘
water_icon|像素风格，32x32像素，水分图标，蓝色水滴形状，纯黑色背景，无阴影，清晰像素边缘

# 底部按钮图标
bag_icon|像素风格，32x32像素，背包图标，棕色背包，有背带，纯黑色背景，无阴影，清晰像素边缘
shop_icon|像素风格，32x32像素，商店图标，小房子形状，有门和窗户，纯黑色背景，无阴影，清晰像素边缘
settings_icon|像素风格，32x32像素，设置图标，齿轮形状，纯黑色背景，无阴影，清晰像素边缘
edit_icon|像素风格，32x32像素，编辑模式图标，铅笔形状，纯黑色背景，无阴影，清晰像素边缘

# 天气图标
sunny_icon|像素风格，32x32像素，晴天图标，黄色太阳，有光芒，纯黑色背景，无阴影，清晰像素边缘

# 功能图标
harvest_icon|像素风格，32x32像素，收获图标，镰刀或篮子形状，纯黑色背景，无阴影，清晰像素边缘
close_icon|像素风格，32x32像素，关闭图标，X形状，纯黑色背景，无阴影，清晰像素边缘
confirm_icon|像素风格，32x32像素，确认图标，对勾形状，纯黑色背景，无阴影，清晰像素边缘
back_icon|像素风格，32x32像素，返回图标，向左箭头，纯黑色背景，无阴影，清晰像素边缘
