# 家具提示词 - 格式: 名称|prompt
# 等距视角家具，240x120像素等距区块
# 背景色规则：与家具主体颜色形成对比色，便于抠图

# 必选家具

desk|像素但清晰，木质书桌，等距视角，240x120像素，浅棕色木纹，桌面平整，四个桌腿，纯蓝色背景(RGB: 0, 120, 255)，无阴影，清晰像素边缘

sofa|像素但清晰，布艺沙发，等距视角，240x120像素，浅灰色棉麻质感，方形靠背，木质矮脚，纯橙色背景(RGB: 255, 140, 0)，无阴影，清晰像素边缘

bookshelf|像素但清晰，开放式书架，等距视角，240x120像素，原木色框架，五层横板，简约设计，纯紫色背景(RGB: 148, 0, 211)，无阴影，清晰像素边缘

floor_lamp|像素但清晰，落地灯，等距视角，240x120像素，黑色细长灯杆，米色圆形灯罩，纯黄色背景(RGB: 255, 255, 0)，无阴影，清晰像素边缘

storage_basket|像素但清晰，编织收纳篮，等距视角，240x120像素，草编材质，带圆形盖子，编织纹理，纯青色背景(RGB: 0, 255, 255)，无阴影，清晰像素边缘

flower_stand|像素但清晰，铁艺花架，等距视角，240x120像素，黑色金属支架，三层阶梯式，纯红色背景(RGB: 255, 0, 0)，无阴影，清晰像素边缘

# 补充家具

chair|像素但清晰，木质餐椅，等距视角，240x120像素，原木色框架，布艺坐垫，靠背有横条，纯蓝色背景(RGB: 0, 100, 255)，无阴影，清晰像素边缘

table_lamp|像素但清晰，桌面台灯，等距视角，240x120像素，黑色金属底座，米色灯罩，可调光设计，纯绿色背景(RGB: 0, 200, 0)，无阴影，清晰像素边缘

wardrobe|像素但清晰，双门衣柜，等距视角，240x120像素，原木色柜体，两个长门，金属把手，纯青色背景(RGB: 0, 200, 200)，无阴影，清晰像素边缘

bed|像素但清晰，双人床，等距视角，240x120像素，白色床品，木质床头板，两个枕头，纯深蓝色背景(RGB: 0, 0, 180)，无阴影，清晰像素边缘

painting|像素但清晰，装饰画，等距视角，240x120像素，木质画框，抽象风景画，挂在墙上效果，纯红色背景(RGB: 220, 0, 0)，无阴影，清晰像素边缘

tv|像素但清晰，平板电视，等距视角，240x120像素，黑色边框，深灰屏幕，纯白色背景(RGB: 255, 255, 255)，无阴影，清晰像素边缘

piano|像素但清晰，立式钢琴，等距视角，240x120像素，黑色漆面，88键黑白键盘，木质琴腿，纯白色背景(RGB: 255, 255, 255)，无阴影，清晰像素边缘

coffee_table|像素但清晰，圆形茶几，等距视角，240x120像素，玻璃桌面，金属支架，简约现代，纯红色背景(RGB: 200, 0, 0)，无阴影，清晰像素边缘

rug|像素但清晰，圆形地毯，等距视角，240x120像素，米白色圆形，流苏边，纯黑色背景(RGB: 0, 0, 0)，无阴影，清晰像素边缘
